
HB20,Horizontal Bar,Horizontal Bar,Dead Cow,Demo2,16.png,N,M,"I, A","Low Bar/High Bar, Pit Pillow/Pit/Wedge","Swings, Tucks, Dismount"
T0,Tramp,Tramp,Safety Fall,Demo1,18.png,N,F,B I,"Trampoline, soft mat","safety, hollow "
FS4,Floor,Dive Roll,Drive Roll,Demo2,1.png,N,M,"AB, I","8 incher, Soft Mat","Dive Roll, Punch"
PB5A,Parallel Bars,Pbars,Support Swings with Resistance Front,Demo2,13.png,M,M,"I, A","Parallel Bars, Atheletic Band","Hollow, Support Position, Swings"
V12,Vault,Vault,Arms Cirlces on Board,Demo1,17.png,N,F,AB I,Board,"backward arm circles, stretch jump, hollow"
ER1,Floor,Endo Roll,Endo Roll on Mat,Demo2,2.png,N,M,I A,Panel Mat,"Forward Roll, Endo, Straddle, Press, Presshandstand, Stalder, Cast Handstand"
Anuu,asdf,dsfasdf,asdfasd,Demo2,Anu.png,M,M,asdf,fasdfadsf,"asdfasd"
S1,ALL,Shapes,Hollow,Demo1,1.png,N,F,ALL,None,"hollow, dish, banana,"
H10A,Floor,Press,Straddle Press Drill,Demo2,3.png,N,M,I A,Panel Mat/Resi,"Straddle, Press, Presshandstand, Stalder, Cast Handstand"
RO4,Floor,Round Off,Cartwheel Step In,Demo2,6.png,N,M,AB I,Panel Mat,"Cartwheel, Round off, "
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto, mailbox, "
H8,Floor,Handstand,Handstand Forward Roll,Demo2,4.png,N,M,AB I,Floor,"Handstand, Forward Roll, "
